original_query,fixed_query,retrieved_docs,expected_id,passed,time_taken
 Bis zur welcher Uhrzeit ist das Kollegingebäudemaschinenbau 2 zuben.,2.02  202,"20.21,20.20,10.22 - LAZ,11.40,10.23",Kollegiengebäude Maschinenbau II,False,1.8635311126708984
 Das Wand hat Gebäude 152 heute aus.,152,"152,Ferdinand-Redtenbacher-Hörsaal (10.91),30.34,40.33,40.28",152,True,1.5522449016571045
 Bis zur welchen Zeitpunkt ist die Versuchsanstalt für Stahlholz und Steine zugänglich.,EMPTY,"Versuchsanstalt für Stahl, Holz und Steine,Studienzentrum für Sehgeschädigte (SZS),Wolfgang-Gaede-Hörsaal (30.22),Zentrum für Angewandte Rechtswissenschaft (ZAR),Fördertechnik und Logistiksysteme, Institut für","Versuchsanstalt für Stahl, Holz und Steine",True,1.9642088413238525
" Wann ist die Schließzeit des College? Nein, des Collegiengebäudes am Ehrenhof.",EMPTY,"Soziologie, Medien- und Kulturwissenschaften (ISMK), Institut für ,Karlsruhe House of Young Scientists (KHYS),11.40,Schwerbehindertenvertretung (SBV) Campus Süd,B621",Kollegiengebäude am Ehrenhof,False,1.5088109970092773
 Bis zu welcher Uhrzeit ist das alte Maschinenbaugebäude?,EMPTY,"Angewandte Materialien - Werkstoffkunde (IAM-WK) Gebäude 10.91, Institut für,Mittlerer Hörsaal Maschinenbau (10.91),Franz-Grashof-Hörsaal (10.91),10.91,Maschinenbau, KIT-Fakultät für",Altes Maschinenbaugebäude,False,1.8994479179382324
 Zu welchen Zeitpunkt schließt das Zering aus?,EMPTY,"214,Zentrum für Angewandte Rechtswissenschaft (ZAR),Sprachenzentrum (Geb. 50.20),Zentrale Studienberatung (ZSB),Zentrum für Mediales Lernen (ZML)",Zähringerhaus,False,2.4140660762786865
 Wann endet die Öffnungszeit von Gebäude 30.50?,30.50,"30.50,30.90,30.93,Rudolf-Plank-Hörsaal (40.32),11.22",30.50,True,2.133354902267456
 Bis zu welcher Zeit ist das zoologische Institut geöffnet?,EMPTY,"Zoologisches Institut,Biologische Grenzflächen (IBG), Institut für,Angewandte Biowissenschaften (IAB), Institut für,Biomedizinische Technik, Institut für,Fachschaft Chemie und Biowissenschaften",Zoologisches Institut,True,1.5851540565490723
 Gibt mir die Internetadresse des Instituts für Technik der Informationsverarbeitung.,EMPTY,"Technik der Informationsverarbeitung (ITIV), Institut für,Theoretische Informatik (ITI), Institut für,Prozessrechentechnik, Automation und Robotik (IPR), Institut für,Technische Informatik (ITEC), Institut für,Industrielle Informationstechnik, Institut für","Technik der Informationsverarbeitung (ITIV), Institut für",True,2.0847928524017334
 Zeigt die Webadresse des Instituts für Sport und Sportwissenschaften?,EMPTY,"Sport und Sportwissenschaft, Institut für,Fachschaft Sport,Institut für Arbeitswissenschaft und Betriebsorganisation (ifab),Institut für Biologische und Chemische Systeme (IBCS),Nachrichtentechnik , Institut für","Sport und Sportwissenschaft, Institut für",True,1.482348918914795
 Navigiert zur Website des Instituts für Technische Physik,EMPTY,"Technische Physik, Institut für,Interfakultatives Institut für Anwendungen der Informatik,Physik-Hörsaal Nr. 4 (30.22),Physik-Hörsaal Nr. 3 (30.22),Experimentelle Teilchenphysik (ETP), Institut für","Technische Physik, Institut für",True,2.175593852996826
" zeig mir mal den Rapp auf, dritte ETS, will es ETS?",03.03  303,"303,214,Zentrum für Angewandte Rechtswissenschaft (ZAR),Stochastik, Institut für,Kantine (Campus Nord)","Thermische Energietechnik und Sicherheit (ITES), Institut für",False,2.357203960418701
 Internet Adresse des Forschungszentrums Umwelt gesucht.,EMPTY,"Angewandte Geowissenschaften, Institut für,50.40,Deutsch-Französisches Institut für Umweltforschung (DFIU),Fortbildungszentrum für Technik und Umwelt (FTU),Bio- und Lebensmitteltechnik, Bereich IV: Molekulare Aufarbeitung von Bioprodukten , Institut für",Forschungszentrum Umwelt,False,2.0365381240844727
 Webadresse des Studierenden Services gesucht.,EMPTY,"Studierendenservice,Bereich II - Informatik, Wirtschaft und Gesellschaft (CS),10.12,Studienzentrum für Sehgeschädigte (SZS),Studienkolleg für ausländische Studierende (STK)",Studierendenservice,True,1.5353977680206299
 Wie lautet die URL des Instituts für Elektroenergiesysteme und Hochspannungstechnik?,EMPTY,"Elektroenergiesysteme und Hochspannungstechnik , Institut für,Fachschaft Elektro- und Informationstechnik,Elektrotechnisches Institut (ETI),Hochfrequenztechnik und Elektronik (IHE), Institut für,Kleiner Hörsaal Elektrotechnik (11.10)","Elektroenergiesysteme und Hochspannungstechnik , Institut für",True,1.3465158939361572
 Navigiere zum Studiumgenerale Forum.,EMPTY,"Studium Generale. Forum Wissenschaft und Gesellschaft (FORUM),30.95,Audimax (30.95),Studienzentrum für Sehgeschädigte (SZS),30.70",Studium Generale. Forum Wissenschaft und Gesellschaft (FORUM),True,1.7770109176635742
 Wie erreiche ich das Sprachenzentrum online?,EMPTY,"08.03,Sprachenzentrum (Geb. 50.20),01.90,Studienzentrum für Sehgeschädigte (SZS),01.86",Sprachenzentrum (Geb. 50.20),True,1.2242431640625
 Zeig mir die Homepage des Gebäudes 260 Strich 1.,260.1  26.01,"260/1,260,11.22,214,Egon-Eiermann-Hörsaal (20.40)",260/1,True,2.484616994857788
 Gebt mir den Weblink von Gebäude 9.651.,9.651,"01.90,06.36,20.40,11.22,30.42",9651,False,7.098339796066284
 Welche Website gehört zu Gebäude 693?,693,"693,11.22,Karlsruhe House of Young Scientists (KHYS),Chemie-Hörsaal III (30.41),KIT-Archiv",693,True,1.0747697353363037
 Navigiere zur Internetseite von Gebäude 800-6.,806  8006,"806,01.90,440,11.22,30.70",806,True,1.613313913345337
 Huf die Website von Gebäude 913 auf.,913,"913,Chemie-Hörsaal III (30.41),Egon-Eiermann-Hörsaal (20.40),Mittlerer Hörsaal Maschinenbau (10.91),Fritz-Haller-Hörsaal (20.40)",913,True,2.022601842880249
 Die lautet die URL des Englerbunterinstituts und Mint-Kollegs.,EMPTY,"40.50,Engler-Bunte-Hörsaal (40.50),40.11,Engler-Bunte-Institut Bereich Verbrennungstechnik (EBI-VBT),Engler-Bunte-Institut, Bereich Wasserchemie",Engler-Bunte-Institut (EBI) / MINT-Kolleg KIT,False,2.3032941818237305
 Navigate zur Homepage von Gebäude 131.,131,"B131,131,11.22,Chemie-Hörsaal III (30.41),Egon-Eiermann-Hörsaal (20.40)",131,True,2.349236011505127
" Zeig mir die Wettpräsenz von Gebäude 39,49.",39.49,"214,Chemie-Hörsaal III (30.41),Chemie-Hörsaal II (30.41),Forschungsförderung (FOR) CS,Messtechnik-Hörsaal (30.33)",30.49,False,2.047886848449707
 Ruf die Homepage von Gebäude 412 auf.,412,"412,214,Karlsruhe House of Young Scientists (KHYS),Egon-Eiermann-Hörsaal (20.40),Franz-Grashof-Hörsaal (10.91)",412,True,2.138946056365967
 Wie sind die Öffnungszeiten des Forschung centrums umwelt?,EMPTY,"50.40,30.48,Forschungsförderung (FOR) CN,Physik-Hörsaal Nr. 3 (30.22),Forschungsförderung (FOR) CS",Forschungszentrum Umwelt,False,3.127535820007324
 Wann hat Gebäude 01.12 geöffnet?,01.12,"01.12,Egon-Eiermann-Hörsaal (20.40),Fritz-Haller-Hörsaal (20.40),Wolfgang-Gaede-Hörsaal (30.22),Kleiner Hörsaal Bauingenieure (10.50)",01.12,True,1.7240889072418213
 Zu welchen Zeiten ist Gebäude 1.90 zugänglich?,1.90,"01.90,40.40,30.95,11.22,Hörsaal 101 (10.50)",01.90,True,1.0146980285644531
" Wann ist das Institut für angewandte Materialien, elektrischemisch Technologien geöffnet?",EMPTY,"Angewandte Materialien - Elektrochemische Technologien (IAM-ET), Institut  für,Elektrotechnisches Institut (ETI),Elektroenergiesysteme und Hochspannungstechnik , Institut für,Fachschaft Elektro- und Informationstechnik,Angewandte Materialien - Energiespeichersysteme (IAM-ESS) , Institut für","Angewandte Materialien - Elektrochemische Technologien (IAM-ET), Institut  für",True,1.0086579322814941
 Zu facementur Zeit ist das VEM-Institut geöffnet.,EMPTY,"Mikroverfahrenstechnik (IMVT) , Institut für,Fachschaft Chemie und Biowissenschaften,Deutsch-Französisches Institut für Umweltforschung (DFIU),Biomedizinische Technik, Institut für,Angewandte Materialien - Energiespeichersysteme (IAM-ESS) , Institut für",Institut für Wirtschaftsinformatik (WIN),False,1.6261568069458008
 Die sind die Zugangshiten zum Institut für angewandte Geobissenschaften.,EMPTY,"Geophysikalisches Institut (GPI),Angewandte Geowissenschaften, Institut für,Geodätisches Institut (GIK),Angewandte Materialien - Energiespeichersysteme (IAM-ESS) , Institut für,Fachschaft Geowissenschaften","Angewandte Geowissenschaften, Institut für",True,1.8926160335540771
 Wann hat der schwarze Kater auf?,EMPTY,"05.01,05.20,30.80,Projektträger Karlsruhe (PTKA),Chemie-Hörsaal III (30.41)",Schwarzer Kater,False,2.1672561168670654
 Wann kann man den Informatikbau?,EMPTY,"Fachschaft Mathematik und Informatik,Fachschaft Informatik,Technische Informatik (ITEC), Institut für,Theoretische Informatik (ITI), Institut für,Theoretische Informatik, Arbeitsgruppe Kryptographie und Sicherheit (IKS), Institut für",Informatikbau,False,2.9706192016601562
" Ein Einstück, ein Ziller Testfacility, Beryl, Lied, Produktion geöffnet.",EMPTY,"453,454,456,464,458",GODZILLA Test-Facility Beryllide-Production,False,1.965151071548462
 Wann kann man Gebäude 40.24 betreten?,40.24,"40.24,Rudolf-Plank-Hörsaal (40.32),Audimax (30.95),40.11,20.52",40.24,True,2.0559630393981934
 Warum hat das Institut für funktionelle Grenzflächen geöffnet?,EMPTY,"Funktionelle Grenzflächen (IFG), Institut für,Biologische Grenzflächen (IBG), Institut für,Angewandte Materialien - Werkstoff- und Grenzflächenmechanik (IAM-MMI), Institut für,Experimentelle Teilchenphysik (ETP), Institut für,Theoretische Festkörperphysik, Institut für","Funktionelle Grenzflächen (IFG), Institut für",True,1.7376627922058105
 Wann hat Gebäude 653 auf?,653,"9653,11.22,Chemie-Hörsaal III (30.41),50.31,Angewandte Thermofluidik (IATF), Institut für",663,False,1.5395410060882568
 Welche Eröffnungszeiten hat das Architekturgebäude?,EMPTY,"Architektur-Hörsaal 9 (20.40),20.40,30.21,Egon-Eiermann-Hörsaal (20.40),Fritz-Haller-Hörsaal (20.40)",Architektur,False,7.43978476524353
 Zu welchen Zeiten ist der Winkelwohnglock NZ1 zugänglich?,NZ1,"Medizinische Dienste (MED) CS,20.53,20.50,06.60,06.36",Winkelwohnblock NZ1,False,1.2579641342163086
 Zu welchen Zeiten ist Gebäude 14 zugänglich.,14,"20.14,20.21,20.20,11.22,01.80",410,False,1.4381608963012695
" Wann kann man Gebäude 70, 16 betreten?",70.16,"70.16,30.81,20.30,50.40,11.22",70.16,True,2.2164480686187744
 Zu welchen Uhrzeiten ist Geburt 227 geöffnet?,227,"227,234,30.21,11.22,40.11",227,True,1.8690659999847412
 Wann ist Gebäude 512 zugänglich?,512,"512,9611,11.22,30.95,10.31",512,True,1.6867859363555908
 Zu welchen Zeitung der Gebäude 70.12 geöffnet?,70.12,"70.12,11.22,30.90,40.16,30.42",70.12,True,1.5715599060058594
" Gibt es Räustulzugang im Gebäude 2,10?",210  2.10,"210,10.84,10.22 - LAZ,Franz-Grashof-Hörsaal (10.91),10.23",210,True,1.8165230751037598
 Ist das Hochschul-Sportgebäude barrierefrei zugänglich?,EMPTY,"Fachschaft Sport,30.23,Hochschulsport,30.81,Fritz-Haller-Hörsaal (20.40)",Hochschulsport,True,1.504086971282959
 Wietet das Institut für Regionalwissenschaft Barrierefreiheit?,EMPTY,"Regionalwissenschaft (IfR) , Institut für,Hochfrequenztechnik und Elektronik (IHE), Institut für,Lichttechnisches Institut (LTI),Angewandte Materialien - Werkstoff- und Grenzflächenmechanik (IAM-MMI), Institut für,Angewandte Materialien - Werkstoffkunde (IAM-WK) Gebäude 10.96, Institut für","Regionalwissenschaft (IfR) , Institut für",True,1.4712231159210205
 Ist das Physikhochhaus mit Rollstuhl reichbar?,EMPTY,"Theoretische Teilchenphysik (TTP), Institut für,Experimentelle Teilchenphysik (ETP), Institut für,Theorie der Kondensierten Materie, Institut für,Theoretische Festkörperphysik, Institut für,Physikalisches Institut (PI)",Physik-Hochhaus,False,1.462047815322876
 Gibt es barrierefreie Zugänge zum Elektrotechnischen Institut?,EMPTY,"Elektrotechnisches Institut (ETI),Fachschaft Elektro- und Informationstechnik,Laboratorium für Elektronenmikroskopie (LEM),Kleiner Hörsaal Elektrotechnik (11.10),Elektroenergiesysteme und Hochspannungstechnik , Institut für",Elektrotechnisches Institut,False,1.6639058589935303
 verfügt das Physikhochhaus über Barrierefreiheit?,EMPTY,"Experimentelle Teilchenphysik (ETP), Institut für,Interfakultatives Institut für Anwendungen der Informatik,Theoretische Teilchenphysik (TTP), Institut für,Physikalisches Institut (PI),Angewandte Physik, Institut für (AP)",Physik-Hochhaus,False,1.848947286605835
 verfügt Gebäude 10.94 über Barrierefreiheit,10.94,"10.94,20.40,10.70,11.22,Franz-Grashof-Hörsaal (10.91)",10.94,True,2.007232189178467
 hat gebeutet 10.31 ein Holstuhl zu tun,10.31,"10.31,Rudolf-Plank-Hörsaal (40.32),Chemie-Hörsaal III (30.41),Heinrich-Hertz-Hörsaal (10.11),Rudolf-Criegee-Hörsaal (30.41)",10.31,True,1.9622399806976318
" Hat das Kolleginnen, Gebäude-Maschinen Bau 2 Rollstuhl zu gang?",2,"Strömungsmechanik (ISTM), Institut für,10.23,10.31,10.22 - LAZ,Produktentwicklung (IPEK), Institut für",Kollegiengebäude Maschinenbau II,False,1.3121299743652344
 verfügt das Institut für technische Informatik über Rollstuhlzugänglichkeit?,EMPTY,"Technische Informatik (ITEC), Institut für,Theoretische Informatik (ITI), Institut für,Hochfrequenztechnik und Elektronik (IHE), Institut für,Industrielle Informationstechnik, Institut für,Technikzukünfte, Institut für ","Technische Informatik (ITEC), Institut für",True,1.676377773284912
 Kann man Gebäude 101 mit Rollstuhl betreten?,101,"Hörsaal 101 (10.50),101,Hörsaal 102 (10.50),20.40,50.34",101,True,1.8914408683776855
 Hat das Institut für technische Thermodynamik ein Rollstuhl zu tun?,EMPTY,"Technische Thermodynamik, Institut für,Technische Thermodynamik und Kältetechnik, Institut für,Thermische Verfahrenstechnik, Institut für,Mess- und Regelungstechnik MRT, Institut für,Thermische Energietechnik und Sicherheit (ITES), Institut für","Technische Thermodynamik, Institut für",True,1.2949559688568115
 Hat das Informatik 1 Gebäude einen Rollstuhl zu gamm?,Informatik 1  01.01,"20.40,Geodätisches Institut (GIK),Fachschaft Informatik,Egon-Eiermann-Hörsaal (20.40),Architektur-Hörsaal 9 (20.40)",InformatiKOM 1,False,1.7081449031829834
 Verschüttke beitet 211 über Rollstuhl zu der Möglichkeit.,211,"211,Fachschaft WiWi,20.40,Fachschaft Sport,Technikzukünfte, Institut für ",211,True,1.1908140182495117
 Hat der Bereich 1 der Biologie Chemie und Verfahrenszeichner beim Campus Nordbarriere freut zuginge?,1,"Bereich I - Biologie, Chemie und Verfahrenstechnik (Campus Nord),Bereich I – Biologie, Chemie und Verfahrenstechnik (Campus Süd),Bibliothek (Campus Nord),Chemische Verfahrenstechnik (CVT), Institut für,Institut für Biologische und Chemische Systeme (IBCS)","Bereich I - Biologie, Chemie und Verfahrenstechnik (Campus Nord)",True,1.5852577686309814
 Ist derchen Mietwurm 2 für Rollstuhlfahrer zum Gänglich?,2,"20.40,10.23,10.31,Fritz-Haller-Hörsaal (20.40),Bereich II - Informatik, Wirtschaft und Gesellschaft (CN)",Chemie-Turm II,False,1.1418333053588867
" Ist das Gebäude 30, 28 barrierefrei zugänglich?",3028,"Lernzentrum am Fasanenschlösschen (Geb. 30.28),30.23,20.40,30.91,Rudolf-Criegee-Hörsaal (30.41)",30.28,False,1.384619951248169
 Ist das ISMK in Situld-Baryerruf frei?,EMPTY,"30.82,30.51,AStA,Soziologie, Medien- und Kulturwissenschaften (ISMK), Institut für ,Mitfahrbank (Campus Süd): Bibliothek","Soziologie, Medien- und Kulturwissenschaften (ISMK), Institut für ",True,2.0820748805999756
 Er fügt geballt 06.47 über bei jemals freiheit.,06.47,"06.47,Rechtsangelegenheiten (RECHT),Werkfeuerwehr,Chemie-Hörsaal III (30.41),11.40",06.47,True,2.5579731464385986
 Ist das Gebäude 10.86 für Rollschluffera zugänglich?,10.86,"10.86,Franz-Grashof-Hörsaal (10.91),10.22 - LAZ,10.31,10.23",10.86,True,2.3406877517700195
