original_query,fixed_query,retrieved_docs,expected_id,passed
 Kann man momentan ins ESL-Institut?,Kann man momentan ins ESL-Institut?,"Technische Chemie (ITC), Institut für,Mikroverfahrenstechnik (IMVT) , Institut für,Mikrostrukturtechnik (IMT), Institut für,Lichttechnisches Institut (LTI),Elektrotechnisches Institut (ETI)","Entwerfen von Stadt und Landschaft (IESL), Institut",False
 Bis zu welcher Uzzat ist gebeute 0 1.9 0 zu gönntig., Bis zu welcher Uzzat ist gebeute 0 1.9 0 zu gönntig.,"01.96,01.94,01.93,01.92,01.90",01.90,True
 Zu welcher Zeit schließt das IPR Gebäude.,Zu welcher Zeit schließt das IPR Gebäude.,"Fritz-Haller-Hörsaal (20.40),Zentrum für Angewandte Rechtswissenschaft (ZAR),Angewandte Thermofluidik (IATF), Institut für,Institut für Operations Research (IOR), Bereich Diskrete Optimierung und Logistik,Institut für Operations Research (IOR), Bereich Kontinuierliche Optimierung","Prozessrechentechnik, Automation und Robotik (IPR), Institut für",False
 Walschlichstiftes SICK Bibliothek, Walschlichstiftes SICK Bibliothek,"Otto-Lehmann-Hörsaal (30.22),30.51,310,303,Physik-Hörsaal Nr. 4 (30.22)",Fachbibliothek Physik,False
 Wann schließt das Informatikom 1?,Wann schließt das Informatikom 1 1?,"Hörsaal 101 (10.50),50.19 - InformatiKOM I,30.51,50.34,Egon-Eiermann-Hörsaal (20.40)",InformatiKOM 1,False
 Die Spät schliss der Informatikbau.,Die Spät schließt der Informatikbau,"Germanistik: Literatur, Sprache, Medien (GER), Institut für,50.34,Telematik (ITM), Institut für,10.84,Mitfahrbank (Campus Süd): Bibliothek",Informatikbau,False
 Bis wann ist das Institut für angewandte Geobissenschaften heute geöffnet?,Bis wann ist das Institut für angewandte Geobissenschaften heute geöffnet?,"Entrepreneurship, Technologie-Management und Innovation (EnTechnon), Institut für,Beschleunigerphysik und Technologie (IBPT) - Direktor/Verwaltung, Institut für,Angewandte Geowissenschaften, Institut für,Theoretische Teilchenphysik (TTP), Institut für,Theoretische Festkörperphysik, Institut für","Angewandte Geowissenschaften, Institut für",True
 Zu welcher Zeit schließt der Bereich vier das Instituts für Bio und Lebensmitteltechnik?,Zu welcher Zeit schließt der Bereich 4 das Instituts für Bio und Lebensmitteltechnik?,"Fachschaft Chemie und Biowissenschaften,Bereich I - Biologie, Chemie und Verfahrenstechnik (Campus Nord),Bio- und Lebensmitteltechnik, Institut für,Institut für Arbeitswissenschaft und Betriebsorganisation (ifab),Lichttechnisches Institut (LTI)","Bio- und Lebensmitteltechnik, Bereich IV: Molekulare Aufarbeitung von Bioprodukten , Institut für",False
 Wie spät macht die Physik-Bibliothek zu?,Wie spät macht die Physik-Bibliothek zu?,"Physik-Hörsaal Nr. 4 (30.22),30.22,Physik-Hörsaal Nr. 3 (30.22),Otto-Lehmann-Hörsaal (30.22),30.51",Fachbibliothek Physik,False
 Bis wann hat das Studium generale Fuchen heute geöffnet?,Bis wann hat das Studium generale Fuchen heute geöffnet?,"Versuchsanstalt des Joseph Gottlieb Kölreuter Instituts für Pflanzenwissenschaften,Geophysikalisches Institut (GPI),Professur für Industrieökonomik, Institut für Volkswirtschaftslehre (ECON),Entrepreneurship, Technologie-Management und Innovation (EnTechnon), Institut für,Fachschaft Chemie und Biowissenschaften",Studium Generale. Forum Wissenschaft und Gesellschaft (FORUM),False
 Zu welcher Uhrzeit schließt der Informatikbau.,Zu welcher Uhrzeit schließt der Informatikbau.,"50.34,Theoretische Informatik, Arbeitsgruppe Kryptographie und Sicherheit (IKS), Institut für,Technische Informatik (ITEC), Institut für,Fachschaft Mathematik und Informatik,Prozessrechentechnik, Automation und Robotik (IPR), Institut für",Informatikbau,False
 Bis 1 hat Gebäude 403 heute auf.,Bis 1 hat Gebäude 04.03 heute auf.,"403,577,Chemie-Hörsaal III (30.41),Bereich III - Maschinenbau und Elektrotechnik (CN),Egon-Eiermann-Hörsaal (20.40)",403,True
 Bis zur welcher Uhrzeit ist das Kollegingebäudemaschinenbau 2 zuben.,Bis zur welcher Uhrzeit ist das Kollegingebäudemaschinenbau 2 zwei.,"Massivbau und Baustofftechnologie, Institut für,Fachschaft Maschinenbau/Chemieingenieurwesen,20.21,10.23,10.31",Kollegiengebäude Maschinenbau II,False
 Das Wand hat Gebäude 152 heute aus.,Das Gebäude hat Gebäude 152 heute aus.,"152,Ferdinand-Redtenbacher-Hörsaal (10.91),Franz-Grashof-Hörsaal (10.91),Versuchsanstalt für Stahl, Holz und Steine,Wolfgang-Gaede-Hörsaal (30.22)",152,True
 Bis zur welchen Zeitpunkt ist die Versuchsanstalt für Stahlholz und Steine zugänglich.,Bis zur welchen Zeitpunkt ist die Versuchsanstalt für Stahl und Holz und Steine zugänglich.,"Fachschaft Geistes- und Sozialwissenschaften,Versuchsanstalt für Stahl, Holz und Steine,Wolfgang-Gaede-Hörsaal (30.22),Ferdinand-Redtenbacher-Hörsaal (10.91),Forschungsförderung (FOR) CS","Versuchsanstalt für Stahl, Holz und Steine",True
" Wann ist die Schließzeit des College? Nein, des Collegiengebäudes am Ehrenhof.","Wann ist die Schließstunde des Collegiums? Nein, des Collegiengebäude am Ehrenhof.","Germanistik: Literatur, Sprache, Medien (GER), Institut für,Soziologie, Medien- und Kulturwissenschaften (ISMK), Institut für ,Entrepreneurship, Technologie-Management und Innovation (EnTechnon), Institut für,Bereich I – Biologie, Chemie und Verfahrenstechnik (Campus Süd),Schwerbehindertenvertretung (SBV) Campus Süd",Kollegiengebäude am Ehrenhof,False
 Bis zu welcher Uhrzeit ist das alte Maschinenbaugebäude?,Bis zu welcher Uhrzeit ist das alte Maschinenbaugebäude?,"10.91,10.31,Franz-Grashof-Hörsaal (10.91),Mittlerer Hörsaal Maschinenbau (10.91),Angewandte Materialien - Werkstoffkunde (IAM-WK) Gebäude 10.91, Institut für",Altes Maschinenbaugebäude,False
 Zu welchen Zeitpunkt schließt das Zering aus?,Zu welchen Zeitpunkt schließt das Zehring aus?,"30.82,Hochschulsport,Gottlieb-Daimler-Hörsaal (10.21),214,Wolfgang-Gaede-Hörsaal (30.22)",Zähringerhaus,False
 Wann endet die Öffnungszeit von Gebäude 30.50?,Wann endet die Öffnungszeit von Gebäude 30.50?,"30.50,40.27,11.22,40.11,01.52",30.50,True
 Bis zu welcher Zeit ist das zoologische Institut geöffnet?,Bis zu welcher Zeit ist das zoologische Institut geöffnet?,"Fachschaft Chemie und Biowissenschaften,Fachschaft Geowissenschaften,Bio- und Lebensmitteltechnik, Institut für,Zentrum für Angewandte Rechtswissenschaft (ZAR),Bereich I - Biologie, Chemie und Verfahrenstechnik (Campus Nord)",Zoologisches Institut,False
 Gibt mir die Internetadresse des Instituts für Technik der Informationsverarbeitung.,Gibt mir die Internetadresse des Instituts für Technik der Informationsverarbeitung.,"Theoretische Informatik, Arbeitsgruppe Kryptographie und Sicherheit (IKS), Institut für,Automation und Angewandte Informatik (IAI), Institut für,Theoretische Informatik (ITI), Institut für,Hochfrequenztechnik und Elektronik (IHE), Institut für,Telematik (ITM), Institut für","Technik der Informationsverarbeitung (ITIV), Institut für",False
 Zeigt die Webadresse des Instituts für Sport und Sportwissenschaften?,Zeigt die Webadresse des Instituts für Sport und Sportwissenschaften?,"Telematik (ITM), Institut für,Fachschaft Sport,Interfakultatives Institut für Anwendungen der Informatik,Theoretische Physik (TP), Institut für,Sport und Sportwissenschaft, Institut für","Sport und Sportwissenschaft, Institut für",True
 Navigiert zur Website des Instituts für Technische Physik, Navigiert zur Website des Instituts für Technische Physik,"Technische Physik, Institut für,Technische Thermodynamik, Institut für,Theoretische Physik (TP), Institut für,30.24,Interfakultatives Institut für Anwendungen der Informatik","Technische Physik, Institut für",True
" zeig mir mal den Rapp auf, dritte ETS, will es ETS?","zeig mir mal den Rap auf, 3.ETS, will es ETS?","Angewandte Materialien - Angewandte Werkstoffphysik (IAM-AWP), Institut für,Versuchsanstalt für Stahl, Holz und Steine,Bereich III - Maschinenbau und Elektrotechnik (CS),30.46,Informationsmanagement im Ingenieurwesen (IMI) , Institut für","Thermische Energietechnik und Sicherheit (ITES), Institut für",False
 Internet Adresse des Forschungszentrums Umwelt gesucht.,Internet Adresse des Forschungszentrums Umwelt gesucht,"Fortbildungszentrum für Technik und Umwelt (FTU),Technische Physik, Institut für,103,B131,Institut für Biologische und Chemische Systeme (IBCS)",Forschungszentrum Umwelt,False
 Webadresse des Studierenden Services gesucht.,Webadresse des Studierenden Services gesucht,"Technik-Haus,Studierendenservice,10.12,Studienzentrum für Sehgeschädigte (SZS),Bereich II - Informatik, Wirtschaft und Gesellschaft (CS)",Studierendenservice,True
 Wie lautet die URL des Instituts für Elektroenergiesysteme und Hochspannungstechnik?,Wie lautet die URL des Instituts für Elektroenergiesysteme und Hochspannungstechnik?,"Technische Thermodynamik und Kältetechnik, Institut für,Thermische Energietechnik und Sicherheit (ITES), Institut für,Experimentelle Teilchenphysik (ETP), Institut für,Prozessdatenverarbeitung und Elektronik (IPE), Institut für,Hochfrequenztechnik und Elektronik (IHE), Institut für","Elektroenergiesysteme und Hochspannungstechnik , Institut für",False
 Navigiere zum Studiumgenerale Forum.,Navigiere zum Studiumgenerale Forum,"30.50,Fachschaft Geowissenschaften,30.70,Studienzentrum für Sehgeschädigte (SZS),Studienkolleg für ausländische Studierende (STK)",Studium Generale. Forum Wissenschaft und Gesellschaft (FORUM),False
 Wie erreiche ich das Sprachenzentrum online?,Wie erreiche ich das Sprachenzentrum online?,"08.03,461,AStA,01.86,Sprachenzentrum (Geb. 50.20)",Sprachenzentrum (Geb. 50.20),True
 Zeig mir die Homepage des Gebäudes 260 Strich 1.,Zeig mir die Homepage des Gebäudes 260.1.,"260,260/1,Telematik (ITM), Institut für,11.22,214",260/1,True
 Gebt mir den Weblink von Gebäude 9.651., Gebt mir den Weblink von Gebäude 9.651.,"11.22,20.40,Mitfahrbank (Campus Süd): Bibliothek,30.42,01.52",9651,False
 Welche Website gehört zu Gebäude 693?,Welche Website gehört zu Gebäude 0693?,"693,30.42,11.22,Werkfeuerwehr,Chemie-Hörsaal III (30.41)",693,True
 Navigiere zur Internetseite von Gebäude 800-6.,Navigiere zur Internetseite von Gebäude 800.06.,"11.22,Lernzentrum am Fasanenschlösschen (Geb. 30.28),Bereich IV - Natürliche und gebaute Umwelt (CS),Fachschaft Geodäsie und Geoinformatik,Bereich IV - Natürliche und gebaute Umwelt (CN)",806,False
 Huf die Website von Gebäude 913 auf.,"Huf ist wahrscheinlich ein Tippfehler und sollte 'Huf' nicht sein, aber ich werde es trotzdem korrigieren, da es kein standardmäßiger Begriff ist. Ich werde es in 'Hufe' ändern, da es eindeutig ein Tippfehler ist. die Website von Gebäude 09.13 auf.","913,Franz-Grashof-Hörsaal (10.91),Neuer Hörsaal Architektur (20.40),Egon-Eiermann-Hörsaal (20.40),11.22",913,True
 Die lautet die URL des Englerbunterinstituts und Mint-Kollegs.,Die lautet die URL des Englerbunterinstituts und Mint-Kollegs.,"40.11,Engler-Bunte-Institut, Bereich I, Chemische Energieträger - Brennstofftechnologie (EBI-CEB),Engler-Bunte-Institut Bereich Verbrennungstechnik (EBI-VBT),Engler-Bunte-Hörsaal (40.50),Engler-Bunte-Institut, Bereich Wasserchemie",Engler-Bunte-Institut (EBI) / MINT-Kolleg KIT,False
 Navigate zur Homepage von Gebäude 131.,Navigate zur Homepage von Gebäude 131..,"131,B131,11.22,Franz-Grashof-Hörsaal (10.91),Chemie-Hörsaal III (30.41)",131,True
" Zeig mir die Wettpräsenz von Gebäude 39,49.","Zeig mir die Wettpräsenz ist wahrscheinlich ein Schreibfehler und sollte 'Wettpräsenz' oder 'Wettpräsenz von Gebäude' sein, aber ich werde es als 'Wettpräsenz' korrigieren. von Gebäude 39.49.","Germanistik: Literatur, Sprache, Medien (GER), Institut für,Egon-Eiermann-Hörsaal (20.40),Versuchsanstalt für Stahl, Holz und Steine,Joseph Gottlieb Kölreuter Institut für Pflanzenwissenschaften (JKIP),Rudolf-Criegee-Hörsaal (30.41)",30.49,False
 Ruf die Homepage von Gebäude 412 auf.,Ruf die Homepage von Gebäude 04.12 auf.,"412,Angewandte Thermofluidik (IATF), Institut für,Fachschaft Geistes- und Sozialwissenschaften,Egon-Eiermann-Hörsaal (20.40),Rudolf-Criegee-Hörsaal (30.41)",412,True
 Wie sind die Öffnungszeiten des Forschung centrums umwelt?,Wie sind die Öffnungszeiten des Forschungszentrum Umwelt?,"50.40,Fachschaft Sport,Sicherheit und Umwelt (SUM),Materialprüfungsanstalt (MPA),Massivbau und Baustofftechnologie, Institut für",Forschungszentrum Umwelt,False
 Wann hat Gebäude 01.12 geöffnet?,Wann hat Gebäude 01.12 geöffnet?,"01.12,Chemie-Hörsaal III (30.41),Mittlerer Hörsaal Maschinenbau (10.91),Lernzentrum am Fasanenschlösschen (Geb. 30.28),Franz-Grashof-Hörsaal (10.91)",01.12,True
 Zu welchen Zeiten ist Gebäude 1.90 zugänglich?,"Zu welchen Zeiten ist Gebäude 1,90 zugänglich?","01.90,40.40,01.52,11.22,Fritz-Haller-Hörsaal (20.40)",01.90,True
" Wann ist das Institut für angewandte Materialien, elektrischemisch Technologien geöffnet?","Wann ist das Institut für angewandte Materialien, elektrischen Technologien geöffnet?","Elektroenergiesysteme und Hochspannungstechnik , Institut für,Fachschaft Elektro- und Informationstechnik,Elektrotechnisches Institut (ETI),Angewandte Materialien - Werkstoffkunde (IAM-WK) Gebäude 10.91, Institut für,Laboratorium für Elektronenmikroskopie (LEM)","Angewandte Materialien - Elektrochemische Technologien (IAM-ET), Institut  für",False
 Zu facementur Zeit ist das VEM-Institut geöffnet.,Zu für Zeit ist das VEM-Institut geöffnet.,"Biomedizinische Technik, Institut für,Versuchsanstalt für Stahl, Holz und Steine,Fachschaft Geistes- und Sozialwissenschaften,Germanistik: Literatur, Sprache, Medien (GER), Institut für,Entrepreneurship, Technologie-Management und Innovation (EnTechnon), Institut für",Institut für Wirtschaftsinformatik (WIN),False
 Die sind die Zugangshiten zum Institut für angewandte Geobissenschaften.,Die sind die Zugänge zum Institut für angewandte Geobissenschaften.,"Photogrammetrie und Fernerkundung (IPF), Institut für,Angewandte und Numerische Mathematik, Institut für,Soziologie, Medien- und Kulturwissenschaften (ISMK), Institut für ,Angewandte Betriebswirtschaftslehre und Unternehmensführung (IBU), Institut für,Angewandte Informatik und Formale Beschreibungsverfahren (AIFB), Institut für","Angewandte Geowissenschaften, Institut für",False
 Wann hat der schwarze Kater auf?,Wann hat der schwarze Kater auf?,"9644,05.01,10.70,30.80,Werkfeuerwehr",Schwarzer Kater,False
 Wann kann man den Informatikbau?,Wann kann man den Informatikbau?,"50.34,Fachschaft Informatik,Fachschaft Mathematik und Informatik,Technische Informatik (ITEC), Institut für,Anthropomatik und Robotik, Institut für",Informatikbau,False
" Ein Einstück, ein Ziller Testfacility, Beryl, Lied, Produktion geöffnet.","Ein Ein Stück, ein Zieler Testfacility, Beryl, Lied, Produktion geöffnet.","214,456,453,458,464",GODZILLA Test-Facility Beryllide-Production,False
 Wann kann man Gebäude 40.24 betreten?,Wann kann man Gebäude 40.24 betreten?,"40.24,10.84,30.43,Audimax (30.95),Wolfgang-Gaede-Hörsaal (30.22)",40.24,True
 Warum hat das Institut für funktionelle Grenzflächen geöffnet?,Warum hat das Institut für funktionelle Grenzflächen geöffnet?,"Thermische Verfahrenstechnik, Institut für,Entrepreneurship, Technologie-Management und Innovation (EnTechnon), Institut für,Laboratorium für Elektronenmikroskopie (LEM),Mess- und Regelungstechnik MRT, Institut für,Joseph Gottlieb Kölreuter Institut für Pflanzenwissenschaften (JKIP)","Funktionelle Grenzflächen (IFG), Institut für",False
 Wann hat Gebäude 653 auf?,Wann hat Gebäude 6.53 auf?,"9653,Chemie-Hörsaal III (30.41),11.22,Angewandte Thermofluidik (IATF), Institut für,Lernzentrum am Fasanenschlösschen (Geb. 30.28)",663,False
 Welche Eröffnungszeiten hat das Architekturgebäude?,Welche Eröffnungszeiten hat das Architekturgebäude?,"20.40,Architektur-Hörsaal 9 (20.40),30.21,Fritz-Haller-Hörsaal (20.40),Egon-Eiermann-Hörsaal (20.40)",Architektur,False
 Zu welchen Zeiten ist der Winkelwohnglock NZ1 zugänglich?,Zu welchen Zeiten ist der Winkelwohnglock NZ1 zugänglich?,"06.60,06.36,06.32,Franz-Grashof-Hörsaal (10.91),Gottlieb-Daimler-Hörsaal (10.21)",Winkelwohnblock NZ1,False
 Zu welchen Zeiten ist Gebäude 14 zugänglich.,Zu welchen Zeiten ist Gebäude 14.00 zugänglich.,"11.22,30.91,Architektur-Hörsaal 9 (20.40),Audimax (30.95),30.95",410,False
" Wann kann man Gebäude 70, 16 betreten?",Wann kann man Gebäude 70.16 betreten?,"70.16,30.81,06.42,30.31,20.30",70.16,True
 Zu welchen Uhrzeiten ist Geburt 227 geöffnet?,Zu welchen Uhrzeiten ist Gebäude 22:27 geöffnet?,"227,Fachschaft Geistes- und Sozialwissenschaften,30.21,40.11,234",227,True
 Wann ist Gebäude 512 zugänglich?,Wann ist Gebäude 5.12 zugänglich?,"512,11.22,Gottlieb-Daimler-Hörsaal (10.21),Bereich IV - Natürliche und gebaute Umwelt (CS),Lernzentrum am Fasanenschlösschen (Geb. 30.28)",512,True
 Zu welchen Zeitung der Gebäude 70.12 geöffnet?, Zu welchen Zeitung der Gebäude 70.12 geöffnet?,"70.12,11.22,Lernzentrum am Fasanenschlösschen (Geb. 30.28),Franz-Grashof-Hörsaal (10.91),01.52",70.12,True
" Gibt es Räustulzugang im Gebäude 2,10?",Gibt es Raststätte im Gebäude 2.10?,"Fritz-Haller-Hörsaal (20.40),Rudolf-Criegee-Hörsaal (30.41),Chemie-Hörsaal II (30.41),Lichttechnik-Hörsaal (30.34),Franz-Grashof-Hörsaal (10.91)",210,False
 Ist das Hochschul-Sportgebäude barrierefrei zugänglich?,Ist das Hochschul-Sportgebäude barrierefrei zugänglich?,"Schwerbehindertenvertretung (SBV) Campus Süd,Fritz-Haller-Hörsaal (20.40),Wolfgang-Gaede-Hörsaal (30.22),Messtechnik-Hörsaal (30.33),Oberer Hörsaal Maschinenbau (10.91)",Hochschulsport,False
 Wietet das Institut für Regionalwissenschaft Barrierefreiheit?,Wie das Institut für Regionalwissenschaft Barrierefreiheit?,"Fachschaft Elektro- und Informationstechnik,Thermische Verfahrenstechnik, Institut für,Lichttechnisches Institut (LTI),Hochfrequenztechnik und Elektronik (IHE), Institut für,Angewandte Materialien - Werkstoffkunde (IAM-WK) Gebäude 10.96, Institut für","Regionalwissenschaft (IfR) , Institut für",False
 Ist das Physikhochhaus mit Rollstuhl reichbar?,Ist das Physikhochhaus mit Rollstuhl reichbar?,"Physik-Hörsaal Nr. 3 (30.22),Physik-Hörsaal Nr. 4 (30.22),Theoretische Teilchenphysik (TTP), Institut für,Technische Mechanik, Institut für,Physikalisches Institut (PI)",Physik-Hochhaus,False
 Gibt es barrierefreie Zugänge zum Elektrotechnischen Institut?,Gibt es barrierefreie Zugänge zum Elektrotechnischen Institut?,"Lichttechnisches Institut (LTI),Engelbert-Arnold-Hörsaal (11.10),Fachschaft Elektro- und Informationstechnik,Elektroenergiesysteme und Hochspannungstechnik , Institut für,Hochfrequenztechnik und Elektronik (IHE), Institut für",Elektrotechnisches Institut,False
 verfügt das Physikhochhaus über Barrierefreiheit?,verfügt das Physikhochhaus über Barrierefreiheit?,"Massivbau und Baustofftechnologie, Institut für,Physik-Hörsaal Nr. 4 (30.22),Laboratorium für Elektronenmikroskopie (LEM),Physik-Hörsaal Nr. 3 (30.22),Theorie der Kondensierten Materie, Institut für",Physik-Hochhaus,False
 verfügt Gebäude 10.94 über Barrierefreiheit, verfügt Gebäude 10.94 über Barrierefreiheit,"10.94,10.70,20.52,11.22,20.53",10.94,True
 hat gebeutet 10.31 ein Holstuhl zu tun, hat gebeutet 10.31 ein Holstuhl zu tun,"10.31,Fritz-Haller-Hörsaal (20.40),Rudolf-Plank-Hörsaal (40.32),Versuchsanstalt für Stahl, Holz und Steine,Wolfgang-Gaede-Hörsaal (30.22)",10.31,True
" Hat das Kolleginnen, Gebäude-Maschinen Bau 2 Rollstuhl zu gang?","Hat das Kolleginnen, Gebäude-Maschinen Bau 2. Rollstuhlzugang?","Mechanische Verfahrenstechnik und Mechanik (MVM), Institut für,Photogrammetrie und Fernerkundung (IPF), Institut für,Fachschaft Kunstgeschichte,Produktentwicklung (IPEK), Institut für,10.31",Kollegiengebäude Maschinenbau II,False
 verfügt das Institut für technische Informatik über Rollstuhlzugänglichkeit?,verfügt das Institut für technische Informatik über Rollstuhlzugänglichkeit?,"Lichttechnisches Institut (LTI),Technikzukünfte - Geschichte, Institut für,Technikzukünfte, Institut für ,Technische Thermodynamik, Institut für,Technik der Informationsverarbeitung (ITIV), Institut für","Technische Informatik (ITEC), Institut für",False
 Kann man Gebäude 101 mit Rollstuhl betreten?,Kann man Gebäude 101 mit Rollstuhl betreten?,"101,Hörsaal 101 (10.50),Hörsaal 102 (10.50),20.40,Gottlieb-Daimler-Hörsaal (10.21)",101,True
 Hat das Institut für technische Thermodynamik ein Rollstuhl zu tun?,Hat das Institut für technische Thermodynamik ein Rollstuhl zu tun?,"Technische Mechanik, Institut für,Technische Thermodynamik, Institut für,Elektroenergiesysteme und Hochspannungstechnik , Institut für,Technologie und Management im Baubetrieb (TMB) , Institut für,Angewandte Thermofluidik (IATF), Institut für","Technische Thermodynamik, Institut für",True
 Hat das Informatik 1 Gebäude einen Rollstuhl zu gamm?,Hat das Informatik 1 Gebäude einen Rollstuhl zu gammel?,"Egon-Eiermann-Hörsaal (20.40),Fritz-Haller-Hörsaal (20.40),Entwerfen und Bautechnik, Institut,Architektur-Hörsaal 9 (20.40),Fördertechnik und Logistiksysteme, Institut für",InformatiKOM 1,False
 Verschüttke beitet 211 über Rollstuhl zu der Möglichkeit.,Verschüttung beidseitig 2.11 über Rollstuhl zu der Möglichkeit.,"211,Fachschaft Architektur,20.40,Fachschaft Kunstgeschichte,Architektur-Hörsaal 9 (20.40)",211,True
 Hat der Bereich 1 der Biologie Chemie und Verfahrenszeichner beim Campus Nordbarriere freut zuginge?, Hat der Bereich 1 der Biologie Chemie und Verfahrenszeichner beim Campus Nordbarriere freut zuginge?,"Bio- und Lebensmitteltechnik, Bereich IV: Molekulare Aufarbeitung von Bioprodukten , Institut für,Engler-Bunte-Institut, Bereich Wasserchemie,Chemische Verfahrenstechnik (CVT), Institut für,Technische Chemie (ITC), Institut für,Bio- und Lebensmitteltechnik, Institut für","Bereich I - Biologie, Chemie und Verfahrenstechnik (Campus Nord)",False
 Ist derchen Mietwurm 2 für Rollstuhlfahrer zum Gänglich?, Ist derchen Mietwurm 2 für Rollstuhlfahrer zum Gänglich?,"30.44,10.22 - LAZ,10.23,10.31,30.82",Chemie-Turm II,False
" Ist das Gebäude 30, 28 barrierefrei zugänglich?",Ist das Gebäude 30.28 barrierefrei zugänglich?,"Lernzentrum am Fasanenschlösschen (Geb. 30.28),30.28,Rudolf-Plank-Hörsaal (40.32),Franz-Grashof-Hörsaal (10.91),01.52",30.28,True
 Ist das ISMK in Situld-Baryerruf frei?,Ist das ISMK in Situldbaryerruf frei?,"Soziologie, Medien- und Kulturwissenschaften (ISMK), Institut für ,30.82,Meteorologie und Klimaforschung - Atmosphärische Spurenstoffe und Fernerkundung (IMK-ASF),Messtechnik-Hörsaal (30.33),30.33","Soziologie, Medien- und Kulturwissenschaften (ISMK), Institut für ",True
 Er fügt geballt 06.47 über bei jemals freiheit.,Er fügt geballt 06:47 über bei jemals freiheit,"06.47,11.40,Chemie-Hörsaal III (30.41),Photogrammetrie und Fernerkundung (IPF), Institut für,Funktionelle Grenzflächen (IFG), Institut für",06.47,True
 Ist das Gebäude 10.86 für Rollschluffera zugänglich?,"Ist das Gebäude 10,86 für Rollschluffera zugänglich?","10.86,Franz-Grashof-Hörsaal (10.91),10.31,Mittlerer Hörsaal Maschinenbau (10.91),Produktentwicklung (IPEK), Institut für",10.86,True
